category,company,GUI,boss,shop_name,shop_admin,address,tel
流行女裝與女鞋,捷晶科技有限公司,70493105,溫永光,shiny藍格子,溫定展,320 Taiwan 桃園市中壢區上三座屋52之10號,0973-755630
流行女裝與女鞋,筱雅衣舖,49930559,許雅玲,筱雅衣舖,許雅玲,330 Taiwan 桃園市桃園區朝陽街43號,03-3314911
流行女裝與女鞋,克妹網路事業有限公司,24491553,杜青燕,克妹Ke-Mei,杜青燕,103 Taiwan 台北市大同區延平北路4段282巷51號1樓,0958-666134
流行女裝與女鞋,沛麗星國際有限公司,29179623,李姵萱,PS Mall,樂天小幫手,236 Taiwan 新北市土城區學成路91巷1號,02-22738587
流行女裝與女鞋,灰姑娘衣著館,99999999,廖誼,灰姑娘衣著館,林嫦玲,406 Taiwan 台中市北屯區松竹北二街30號,04-22479338
流行女裝與女鞋,立格國際貿易有限公司,80616561,薛翔宇,米莎時尚購物網,Joanne Shih,403 Taiwan 台中市西區大墩十街11號,04-23298989
流行女裝與女鞋,黑獅實業股份有限公司,23278365,許志榮,許許兒,許雅涵,104 Taiwan 台北市中山區中山北路一段83巷3之2號1樓,02-25670816
流行女裝與女鞋,唐觀電子商務有限公司,24215543,蔡惠婷,糖罐子,蔡惠婷,402 Taiwan 台中市南區國光路85號1樓,04-22219199
流行女裝與女鞋,嘉蒂斯國際有限公司,54136623,李皖芳,嘉蒂斯,李皖芳,408 Taiwan 台中市南屯區環中路五段700之25號,04-24794997
流行女裝與女鞋,蔡美蓉(個人),99999999,蔡美蓉,來福,蔡美蓉,220 Taiwan 新北市板橋區仁化街64巷26號1樓,02-2250-9779
流行女裝與女鞋,吟嘉國際企業有限公司,53195588,陳卉蓁,kirakira,陳卉蓁,220 Taiwan 新北市板橋區縣民大道三段121巷22號1樓,02-82528758
流行女裝與女鞋,陳怡蓓(個人),99999999,陳怡蓓,里奈子 Li-nagi,Jet Chen,116 Taiwan 台北市文山區忠順街一段26巷12弄6號1樓,02-22340749
流行女裝與女鞋,露露絲服裝有限公司,28313453,王榮曙,LULUS,王榮曙,404 Taiwan 台中市北區錦新街47號1樓,04-22153318
流行女裝與女鞋,衣品軒服飾行,26252825,潘建民,F-DNA SHOP,FDNA服飾,114 Taiwan 台北市內湖區新明路315號6樓,02-87929986
流行女裝與女鞋,尚定有限公司,28698302,張廷瀚,franche lippee,羅予甯,104 Taiwan 台北市中山區中山北路二段36巷34號1樓及地下室1樓,02-25630393
流行女裝與女鞋,東螣興業有限公司,53863899,邱惠琦,東京靚包,邱惠琦,428 Taiwan 台中市大雅區大榮街157號2樓,04-25670607
流行女裝與女鞋,蘇文章(個人),99999999,蘇文章,ibella,蘇文章,247 Taiwan 新北市蘆洲區集賢路226之1號5樓,02-8286-0055
流行女裝與女鞋,屏安企業社,25703175,葉思屏,AppleNana 台灣製造手工鞋,葉思屏,704 Taiwan 台南市北區北成路439號,06-2505113
流行女裝與女鞋,康育昌(個人),99999999,康育昌,享瘦衣舍中大尺碼專賣店,阿康,600 Taiwan 嘉義市西區保安二路42號4樓,052773913
流行女裝與女鞋,躍洲國際實業有限公司,53467455,楊川葦,Damita,陳姿錦,241 Taiwan 新北市三重區光復路二段102巷7號,02-22782522
流行女裝與女鞋,薩摩亞商皇后國際有限公司台灣分公司,53678183,李培梅,Queen Shop,吳`s,241 Taiwan 新北市三重區中興北街177號8樓,02-29959996#63
流行女裝與女鞋,天使嫁衣工作室,37889823,謝佳珊,天使嫁衣,謝佳珊,236 Taiwan 新北市土城區學府路一段256巷4弄9號5樓,0983-317348
流行女裝與女鞋,漢娜股份有限公司,53699309,許惠晴,愛洋裝,許惠晴,242 Taiwan 新北市新莊區新北大道三段5號7樓之5,02-22761699
流行女裝與女鞋,漢神服裝行,97881352,李瑞津,小豬兒 Mini Jule,漢神服裝行,404 Taiwan 台中市北區英才路396號9樓之2,04-23213333
流行女裝與女鞋,糊塗鞋匠商行,25749881,涂嘉宏,糊塗鞋匠,涂嘉宏,600 Taiwan 嘉義市西區國華新村41號1樓,05-2366360
流行女裝與女鞋,台灣樂天市場股份有限公司,28847204,小林正忠,樂天時尚大道 Rakuten Brand Avenue,劉芃菲,104 Taiwan 台北市中山區民生東路三段49號11樓,02-2508-8184
流行女裝與女鞋,永連達企業股份有限公司,84479701,劉立國,a la sha,阿財☆,114 Taiwan 台北市內湖區洲子街101號1樓,0800-016-788
流行女裝與女鞋,普威實業股份有限公司,36029305,郭淑雲,ET BOITE箱子,王慶安,248 Taiwan 新北市五股區五工二路123號,02-89901515
流行女裝與女鞋,木足鞋業,26462977,陳淑芬,木鞋工坊,陳淑芬,708 Taiwan 台南市安平區建平八街551號11樓之10,06-2294530
流行女裝與女鞋,彩育貿易有限公司,54263057,許書鈺,Imagine Girl,許書鈺,407 Taiwan 台中市西屯區何南里大隆路86巷1號1樓,04-7775466
流行女裝與女鞋,閎崎有限公司,54283883,林宜靜,Karine,ALIN,105 Taiwan 台北市松山區南京東路五段251巷22弄40號,02-27471938
流行女裝與女鞋,傑珊國際企業有限公司,53314677,李弘田,LOVSO,李先生,110 Taiwan 台北市信義區永吉路278巷2弄5號1樓,02-8888-8888
流行女裝與女鞋,蒂絲服飾商行,26932936,張耀鴻,梅西蒂絲Mercedes Shop,張耀鴻,500 Taiwan 彰化縣彰化市水尾一路278巷183號1樓,0906-666653
流行女裝與女鞋,英竹企業社,34842369,鄭筑文,Happy Happy,鄭筑文,300 Taiwan 新竹市東區光復路一段531巷64號1樓,03-5798102
流行女裝與女鞋,御聖集益商店,34990924,吳陳秀子,御聖願,小御,300 Taiwan 新竹市北區東大路二段736號,0983325819
流行女裝與女鞋,旭宏國際貿易有限公司,28765435,林敏郎,OREAD-自由風格,林敏郎,334 Taiwan 桃園市八德區明光街7巷7號,03-3798627
流行女裝與女鞋,艾樂跑企業股份有限公司,56812424,羅蒼益,KAGOOD,羅文隆,406 Taiwan 台中市北屯區昌平路三段77號,04-24227277
流行女裝與女鞋,安偲國際貿易有限公司,24943260,林玉鳳,Anna S,Jack Ye,105 Taiwan 台北市松山區三民路136巷34號1樓,02-27606591
流行女裝與女鞋,林廷芬服裝設計,26668491,林廷芬,林廷芬服裝設計,林廷芬,302 Taiwan 新竹縣竹北市光明六路東二段53號3樓,03-6582223
流行女裝與女鞋,王皖榆(個人),99999999,王皖榆,格子舖,王皖榆,242 Taiwan 新北市新莊區化成路11巷41弄9號,02-8992-0211
流行女裝與女鞋,創翊數位國際有限公司,53358457,謝政諱,創翊韓都,創翊韓都,108 Taiwan 台北市萬華區萬大路85巷17號1樓,02-23022600
流行女裝與女鞋,貓尾巴日韓服飾,31954213,陳央晏,貓尾巴日韓服飾,陳央晏,110 Taiwan 台北市信義區松德路12號6樓,0925-135128
流行女裝與女鞋,嘉谷企業社,37796888,黃得恩,Korea Q,羅曉楣,334 Taiwan 桃園市八德區忠勇五街2號2樓,03-3634629
流行女裝與女鞋,何國誌,39717283,何國誌,蘋果樹AppleTree,Silvia,408 Taiwan 台中市南屯區寶山東二街10號10樓之2,0934-144087
流行女裝與女鞋,艾爾莎企業有限公司,29175014,謝宗明,艾爾莎時尚精品,謝宗明,221 Taiwan 新北市汐止區福德一路86巷71號,02-86933995
流行女裝與女鞋,磊旺有限公司,89327964,黃建旺,IVY HOUSE,黃建旺,235 Taiwan 新北市三峽區中正路786號13樓,02-3234-0205
流行女裝與女鞋,星程國際股份有限公司,47061962,楊儒岳,ifairies,楊儒岳,241 Taiwan 新北市三重區成功路78號2樓,02-29791078
流行女裝與女鞋,羅鴻洲(個人),99999999,羅鴻洲,彩虹屋美鞋,羅鴻洲,510 Taiwan 彰化縣員林鎮民權街9號,0919-008309
流行女裝與女鞋,劉原源(個人),99999999,劉原源,心齋橋,劉原源,407 Taiwan 台中市西屯區福恩里工業區一路60之2號3樓之7,0933960591
流行女裝與女鞋,東騰生物科技有限公司,24479137,蘇宇棟,i-shine 健康美學館,蘇先生,100 Taiwan 台北市中正區忠孝西路一段33號7樓,23141606
流行女裝與女鞋,暢藝貿易有限公司,53948258,詹靜翔,milida,詹靜翔,542 Taiwan 南投縣草屯鎮和興街94號9樓,0800-200069
流行女裝與女鞋,依珊服裝有限公司,24934086,汪美珠,Ysanne,汪美珠,103 Taiwan 台北市大同區延平北路二段61巷19號4樓,02-25563983
流行女裝與女鞋,芙朵國際有限公司,24529137,賴黃錦穗,芙朵時尚衣著,賴承漢,802 Taiwan 高雄市苓雅區青年一路289號,07-3380353
流行女裝與女鞋,中孚資訊科技有限公司,27383753,許榮熙,艾美天后,許榮熙,402 Taiwan 台中市南區工學北路63號4樓之1,04-22601183
流行女裝與女鞋,蔓妍有限公司,24543428,黃宗揚,Red Berries,Ariel,235 Taiwan 新北市中和區景平路398號2樓,02-89431200
流行女裝與女鞋,窩克科技有限公司,54761553,黃宜斌,窩克yes99buy樂天分店,黃宜斌,406 Taiwan 台中市北屯區大連路二段3號1樓,04-22477423
流行女裝與女鞋,張富君(個人),99999999,張富君,山打努鞋業,張富君,802 Taiwan 高雄市苓雅區仁義街41之1號3樓,0982230353
流行女裝與女鞋,智光網有限公司,54335926,王振政,Joanbuller,Serena,105 Taiwan 台北市松山區復興北路69號6樓,02-27765678
流行女裝與女鞋,廖文汝(個人),99999999,廖文汝,美麗札記小中尺碼,廖文汝,406 Taiwan 台中市北屯區松竹北二街30號,04-22479338
流行女裝與女鞋,衣之妍小棧有限公司,24616977,姚辛皙,YJY,店長,338 Taiwan 桃園市桃園區大新二街118號1樓,03-3230016
流行女裝與女鞋,藍色巴黎有限公司,54726515,顏素琴,藍色巴黎,顏素琴,220 Taiwan 新北市板橋區懷仁街53號1樓,02-29557755
流行女裝與女鞋,劉玉玥(個人),99999999,劉玉玥,The Little Moon,劉玉玥,110 Taiwan 台北市信義區松仁路235號4樓,0987-229266
流行女裝與女鞋,田秀珠(個人),99999999,田秀珠,My style,田秀珠,407 Taiwan 台中市西屯區惠安巷78號,0937-715588
流行女裝與女鞋,黃國珊(個人),黃國珊,Ms.Graceless _ 不優雅小姐,黃國珊,320 Taiwan 桃園市中壢區中平路195號,0915-570057,聯絡店家
流行女裝與女鞋,和美國際企業有限公司,28288068,李蘇美金,和美國際服飾,康邑萱,920 Taiwan 屏東縣潮州鎮文化路287號,08-7895511
流行女裝與女鞋,誠揚商行,37852712,官昭晴,美國強尼,美國強尼,241 Taiwan 新北市三重區長壽西街92號1樓,0289855533
流行女裝與女鞋,姊妹精品服飾,31514222,陳巧庭,Sister Style,彭梓薰,200 Taiwan 基隆市仁愛區孝一路59號1樓,02-24226568
流行女裝與女鞋,崴富國際有限公司,24554070,傅耀先,CPshirt,傅耀先,112 Taiwan 台北市北投區行義路138號,02-86262978
流行女裝與女鞋,楊雅晴(個人),99999999,楊雅晴,EiSuni,SY,220 Taiwan 新北市板橋區中山路二段90巷35之3號,0952-631485
流行女裝與女鞋,賴曉玲(個人),99999999,賴曉玲,MoFa,賴曉玲,412 Taiwan 台中市大里區中興路二段404號,04-24830532
流行女裝與女鞋,林美玲(個人),99999999,林美玲,水水女人國,葛瑞絲,106 Taiwan 台北市大安區台北郵局7之1016號信箱,0935-599171
流行女裝與女鞋,匡晶服飾行,31875338,黃若寧,Between,黃國政,104 Taiwan 台北市中山區中山北路二段36巷19號,02-25318976
流行女裝與女鞋,屹振實業有限公司,86385004,吳錫發,吳錫發創作工房,陳家裕,100 Taiwan 台北市中正區汀州路一段209號B1,02-23914249
流行女裝與女鞋,張家綺(個人),99999999,張家綺,Relaxed Girl 輕鬆女孩,張家綺,110 Taiwan 台北市信義區虎林街242巷67號3樓,02-2222-2222
流行女裝與女鞋,宜彩飾品企業社,26512863,吳家龍,紐約七號,李秀玲,247 Taiwan 新北市蘆洲區仁愛街212巷36之2號2樓,0931-889910
流行女裝與女鞋,品華生活國際有限公司,24750740,陳家琳,GS shop,羅笠云,330 Taiwan 桃園市桃園區大興西路二段6號6樓之4,02-87713239
流行女裝與女鞋,優依實業有限公司,24654520,王孔正,Unigue優依,王孔正,900 Taiwan 屏東縣屏東市建國路219之3號,08-7519015
流行女裝與女鞋,采睫企業社,25496963,歐育溙,采睫,歐育溙,648 Taiwan 雲林縣西螺鎮民生路16之9號,0918-536195
流行女裝與女鞋,帝法精品商行,09979648,賴弘軒,Double T,賴弘軒,108 Taiwan 台北市萬華區漢中街50巷13之2號,0979-001162
流行女裝與女鞋,劉奎甫(個人),99999999,劉奎甫,Mondada,劉奎甫,106 Taiwan 台北市大安區雲和街79之2號1樓,02-23630082
流行女裝與女鞋,呂秀美(個人),99999999,呂秀美,unico,呂秀美,412 Taiwan 台中市大里區大里二街198巷9號,04-24824489
流行女裝與女鞋,莊采寧(個人),99999999,莊采寧,Blancstudio,莊采寧,114 Taiwan 台北市內湖區港墘路26巷9號3樓,0935-829550
流行女裝與女鞋,艾莉波波有限公司,42708392,許君慈,ARIBOBO 艾莉波波,艾莉波波,235 Taiwan 新北市中和區連城路99巷11號2樓之1,0930818000
流行女裝與女鞋,張若穎(個人),張若穎,MiuGirl,張琪琪,235 Taiwan 新北市中和區中山路二段296號12樓之3,02-22486618,聯絡店家
流行女裝與女鞋,永碩商行,31557278,陳體瑋,DalaShop,陳體瑋,320 Taiwan 桃園市中壢區建國路8號,03-4260818
流行女裝與女鞋,許嘉君(個人),99999999,許嘉君,Kstartree首爾星星樹,許嘉君,112 Taiwan 台北市北投區光明路228號2樓C棟,0975-713181
流行女裝與女鞋,江邑勳(個人),99999999,江邑勳,韓舍小品,江邑勳,338 Taiwan 桃園市蘆竹區桃園街103號1樓,0963-768103
流行女裝與女鞋,彩色堂行銷有限公司,53628086,賴傳凱,NabSHOP,賴傳凱,300 Taiwan 新竹市東區西門街243號1樓,03-5253258
流行女裝與女鞋,顏志瑋(個人),99999999,顏志瑋,ONEDAYS衣著,顏志瑋,516 Taiwan 彰化縣埔鹽鄉埔打路86號,0928-953053
流行女裝與女鞋,愛麗屋,25475355,莊御昕,Ava韓,Eva,427 Taiwan 台中市潭子區潭子街一段56號,0912-970542
流行女裝與女鞋,森活態度品牌行銷,40853953,潘宣蓉,森活態度,潘宣蓉,900 Taiwan 屏東縣屏東市公正一街108之11號,08-7660230
流行女裝與女鞋,皇阿瑪團購網企業社,37817357,李玲宜,IS格格時尚,皇阿瑪總管理處,111 Taiwan 台北市士林區承德路四段178號2樓,02-28812656
流行女裝與女鞋,陳露(個人),99999999,陳露,鷗樂服飾,陳露,235 Taiwan 新北市中和區景平路385巷5號,02-22473727
流行女裝與女鞋,丁果股份有限公司,53229840,戴郁芬,丁果網舖,蔡秀美,804 Taiwan 高雄市鼓山區華榮路343巷5號,07-5533781
流行女裝與女鞋,蘇育瑩(個人),99999999,蘇育瑩,Lovelygirls shop,蘇育瑩,103 Taiwan 台北市大同區西寧北路95號3樓,0960-591016
流行女裝與女鞋,林詩綺(個人),99999999,林詩綺,采采,台光國際(股)公司 la ChaCha服飾,806 Taiwan 高雄市前鎮區復興新巷38號3樓,07-5361668
流行女裝與女鞋,富桑興業有限公司,22650338,盧建良,Betel Life,盧建良,338 Taiwan 桃園市桃園區經國路902號6樓,033465558
流行女裝與女鞋,自由服飾店,31886089,吳明川,sandy,郭子萍,110 Taiwan 台北市信義區永吉路459巷7弄16號,0962-006-789
流行女裝與女鞋,閎睎企業社,02425186,馮守璋,LA STORES,LA-Store,220 Taiwan 新北市板橋區中山路二段90巷15號,02-29520883
流行女裝與女鞋,蔡宜含(個人),99999999,蔡宜含,Jeco日韓質感,蔡宜含,434 Taiwan 台中市龍井區台灣大道五段3巷62弄21號3樓B315室,0936-339991
流行女裝與女鞋,鄭佳芳(個人),99999999,鄭佳芳,享瘦衣舍大小尺碼旗艦店,佳芳,600 Taiwan 嘉義市西區保安二路42號3樓,052773913
流行女裝與女鞋,李怡慧(個人),99999999,李怡慧,淇淇城堡,洪瑋駿,404 Taiwan 台中市北區崇德路一段458號8樓之2,0986-191193
流行女裝與女鞋,摩斯流行男女裝服飾店,41291278,陳奕崧,VOCE,曾盈凱,807 Taiwan 高雄市三民區堯山街82號1樓,07-2811821
流行女裝與女鞋,許元慈(個人),99999999,許元慈,hippie,許元慈,320 Taiwan 桃園市中壢區實踐路105號2樓,0981-232767
流行女裝與女鞋,蔡權元(個人),蔡權元,PinkPoko,蔡權元,800 Taiwan 高雄市新興區玉竹二街22號,07-2827743,聯絡店家
流行女裝與女鞋,永勝鞋業有限公司,27673417,王采嫻,samansa莎曼莎手工鞋,王采嫻,235 Taiwan 新北市中和區莊敬路33巷46之3號,02-22480585
流行女裝與女鞋,林家弘(個人),林家弘,Ryandrew,JANE,320 Taiwan 桃園市中壢區內定二十街158巷38號,0983-987387,聯絡店家
流行女裝與女鞋,雅韓時尚館,47289828,李惠君,雅韓時尚館,李惠君,406 Taiwan 台中市北屯區陳平路11巷28號,04-22936408
流行女裝與女鞋,田秉鴻(個人),田秉鴻,芙洛莉亞,田秉鴻,304 Taiwan 新竹縣新豐鄉忠三街48號,03-5579127,聯絡店家
流行女裝與女鞋,台研國際行銷有限公司,53913835,謝說儷,cheershoes,謝說儷,104 Taiwan 台北市中山區松江路101號4樓,04-7561257
流行女裝與女鞋,尼采創意事業股份有限公司,24851557,周采霓,NUUK LIFEWEAR,Lisa,333 Taiwan 桃園市龜山區民生北路一段540號6樓,03-3223056#228
流行女裝與女鞋,禾庭商行,40541468,林宥茹,AN SHOP,林宥茹,407 Taiwan 台中市西屯區福雅路128巷37號,0983558186
流行女裝與女鞋,寶石表演藝術行銷有限公司,53334527,邱郁汶,BOSSA異國風舞孃精品,林奕秀,110 Taiwan 台北市信義區忠孝東路四段559巷38號B1,02-27661829
流行女裝與女鞋,艾倫環球有限公司,53939188,黃瑋國,ZAPI,ZAPI,108 Taiwan 台北市萬華區西寧南路108號3樓,04-24527200
流行女裝與女鞋,綿春纖維工業股份有限公司,22349877,郭民政,Horizons,Horizons,114 Taiwan 台北市內湖區內湖路一段392號10樓,0800-890858
流行女裝與女鞋,大七家時裝工作室,41308329,楊璟淇,SEVENTHHOME,楊璟淇,807 Taiwan 高雄市三民區建興路99巷20弄3號1樓,07-3851871
流行女裝與女鞋,沐蘭品杉國際實業社,42002212,林倩瑩,小E舖,林倩瑩,231 Taiwan 新北市新店區北新路一段89號8樓之4,0919-212442
流行女裝與女鞋,許沛潔(個人),許沛潔,Sophia,蘇菲亞國際時裝有限公司,242 Taiwan 新北市新莊區中平路377巷1之15號6樓,0939-952-920,聯絡店家
流行女裝與女鞋,陳淑蓮(個人),陳淑蓮,俏妞妞中大尺碼專賣店,陳淑蓮,243 Taiwan 新北市泰山區仁愛路93號3樓,0966773598,聯絡店家
流行女裝與女鞋,展源興業有限公司,54872951,陳昱宏,蓁豔小舖,Jennifer,248 Taiwan 新北市五股區凌雲路一段138號,02-2292-7086
流行女裝與女鞋,菁彩精品服飾,26762502,吳沛瑾,Miss Emma,吳品,247 Taiwan 新北市蘆洲區蘆洲區長安街150號1樓,02-28480185
流行女裝與女鞋,羅珮珊(個人),羅珮珊,DreamCat正韓衣櫥,羅珮珊,247 Taiwan 新北市蘆洲區中華街6巷32號1樓,0916-197939,聯絡店家
流行女裝與女鞋,白靜儒(個人),白靜儒,ZUCC,白靜儒,802 Taiwan 高雄市苓雅區永泰路92號,07-2210769,聯絡店家
流行女裝與女鞋,士勝國際股份有限公司,16362106,鐘建蘭,DN旗鑑館,DN女鞋,235 Taiwan 新北市中和區板南路657號13樓,02-82213137
流行女裝與女鞋,豆辣服飾店,36856562,林怡婷,DoLa韓國服飾,林怡婷,900 Taiwan 屏東縣屏東市中華路83號,08-7338268
流行女裝與女鞋,望秀好商號,40640777,黃佩卿,ONE SHOE,葉雅萍,403 Taiwan 台中市西區昇平里民生路368巷2弄3號2樓,0423010234
流行女裝與女鞋,陳憓心(個人),陳憓心,Lilliantw,孫小蔚,105 Taiwan 台北市松山區八德路四段839號,02-28480844,聯絡店家
流行女裝與女鞋,愛美整合行銷有限公司,24680766,鍾一銜,Aimez La Vie,鍾一瑄,807 Taiwan 高雄市三民區遼寧一街169號,0958788182
流行女裝與女鞋,丹布爾鞋業商行,41432592,李如娟,丹布爾鞋業,李如娟,334 Taiwan 桃園市八德區大興路548號,0903-510158
流行女裝與女鞋,陳俞霏(個人),陳俞霏,慕夏Mucha衣著,陳俞霏,350 Taiwan 苗栗縣竹南鎮立達街31號,0962-061250,聯絡店家
流行女裝與女鞋,蔡維陽(個人),蔡維陽,Ego Sky,蔡維陽,709 Taiwan 台南市安南區海佃路四段55巷177號,0936327687,聯絡店家
流行女裝與女鞋,周宇芝(個人),周宇芝,S M SHOP,陳亭旻,205 Taiwan 基隆市暖暖區碇內街135之2號12樓,0972-982001,聯絡店家
流行女裝與女鞋,蔣秉祜(個人),蔣秉祜,Bilyan Shoes,蔣秉祜,408 Taiwan 台中市南屯區忠勇路107之26號10樓之1,0918-766018,聯絡店家
流行女裝與女鞋,衣美國際股份有限公司,54760837,丁偉立,SISJEANS,丁偉立,407 Taiwan 台中市西屯區西屯路三段82之15號,04-24518633
流行女裝與女鞋,百花魁精品服飾店,41000047,吳文卉,Flower Korea,Cate,200 Taiwan 基隆市仁愛區仁二路155號1樓,02-24268650
流行女裝與女鞋,羅楚鋌(個人),羅楚鋌,九十度馬丁館,羅楚鋌,351 Taiwan 苗栗縣頭份鎮上埔里松竹新村21鄰93號,0963-418058,聯絡店家
流行女裝與女鞋,吳旻瑾(個人),吳旻瑾,viNvi Lady,吳旻瑾,221 Taiwan 新北市汐止區仁愛路99號8樓,02-26412079,聯絡店家
流行女裝與女鞋,林佩蓉(個人),林佩蓉,RORO DEAR,林佩蓉,404 Taiwan 台中市北區太平路107巷14號,0988-218696,聯絡店家
流行女裝與女鞋,核心值有限公司,27340707,陳顯中,光河樹 FLUXTREE,光河樹,116 Taiwan 台北市文山區羅斯福路六段2號2樓,02-29333982
流行女裝與女鞋,芫陞企業有限公司,42598888,梁裕彰,O Ker 歐珂兒,NANCY,330 Taiwan 桃園市桃園區三民路三段286號14樓,03-3367666
流行女裝與女鞋,禾圓精品服飾,42037583,游心怡,KatynNana,游心怡,300 Taiwan 新竹市東區金山12街32號,03-5799359
流行女裝與女鞋,高甫實業有限公司,16608072,蔡家惠,TH Shop,露西,114 Taiwan 台北市內湖區瑞光路168號3樓,02-87972208
流行女裝與女鞋,依瑪客國際貿易有限公司,24909919,鄭琮熹,SIGMAMARK,林嘉妍,710 Taiwan 台南市永康區東橋十街25號1樓,06-3025559
流行女裝與女鞋,林亮妤(個人),林亮妤,PMQueen白羽夜后洋裝禮服,林亮妤,106 Taiwan 台北市大安區信義路三段156號13樓之6,0930-507188,聯絡店家
流行女裝與女鞋,臺灣靚衣有限公司,24354777,陳佳隆,Miss yoyo,Missyoyo,500 Taiwan 彰化縣彰化市埔南街41巷18號,04-7123859
流行女裝與女鞋,柏希企業行,26479484,周怡文,ZALULU愛鞋館,王秋蘋,814 Taiwan 高雄市仁武區八德一路400巷16號1樓,07-552-9052
流行女裝與女鞋,王舉榮(個人),王舉榮,雅逸精品服裝,潘妍蓁,235 Taiwan 新北市中和區勝利路35巷1弄24之5號1樓,02-22474855,聯絡店家
流行女裝與女鞋,何沛澄(個人),何沛澄,美國好褲,Emily,100 Taiwan 台北市中正區濟南路二段3號2樓之2,0906-253205,聯絡店家
流行女裝與女鞋,蔡佩倪(個人),蔡佩倪,寶貝時尚Shop,蔡佩倪,300 Taiwan 新竹市東區天府路一段156之1號,0981-257020,聯絡店家
流行女裝與女鞋,吳如涵(個人),吳如涵,La Purete 蕾菲爾,小幫手,302 Taiwan 新竹縣竹北市嘉豐十一路一段19號11樓之3,0975-662-201,聯絡店家
流行女裝與女鞋,翁珮瑜(個人),翁珮瑜,GUESSWHAT,Evelyn,236 Taiwan 新北市土城區明德路二段151號5樓之1,0989998780,聯絡店家
流行女裝與女鞋,東京學園企業社,17988058,古雅真,幸福美舖子,Momo,408 Taiwan 台中市南屯區向心南路752號,04-23805738
流行女裝與女鞋,鉑盛企業社,47644209,王鉑淵,SASA,SASA精品-客服時間AM11:00~PM5:00(週一公休),813 Taiwan 高雄市左營區榮德街435號4樓之1,07-3508611
流行女裝與女鞋,張永宸(個人),張永宸,Jeanscool,林芷萱,807 Taiwan 高雄市三民區漢口街24號,0931227930,聯絡店家
流行女裝與女鞋,蘇偉碩(個人),蘇偉碩,Amber garden,蘇偉碩,104 Taiwan 台北市中山區中山北路二段96巷22號,02-25366698,聯絡店家
流行女裝與女鞋,又橙服飾,47375324,莊菀菱,LYNNSHOP,小幫手,508 Taiwan 彰化縣和美鎮和厝路二段55巷23號,047-553199
流行女裝與女鞋,允鴻企業行,25987665,吳界緯,真皮工坊,吳界緯,831 Taiwan 高雄市大寮區長春街32號,0982-819203
流行女裝與女鞋,蘇格蘭鞋坊,91960409,吳銘智,Sandra,Sandra Huang,830 Taiwan 高雄市鳳山區中山路167之1號,07-8227770
流行女裝與女鞋,李芷儀(個人),李芷儀,Ziyi質衣,李芷儀,203 Taiwan 基隆市中山區復興路120巷31號,0933-847381,聯絡店家
流行女裝與女鞋,上上貿易有限公司,24976281,黃兆民,2MUCH,何宜潔,114 Taiwan 台北市內湖區洲子街112號7樓,02-26595079
流行女裝與女鞋,柳儀美(個人),柳儀美,米奇日韓小舖,周侑臨,231 Taiwan 新北市新店區自立街32號3樓,0981421115,聯絡店家
流行女裝與女鞋,超哥小舖,36774865,王慧君,SiSi Girl,姜林雅雯,704 Taiwan 台南市北區文賢路242巷44號,0979-601656
