GUI,company,tel,address,web
97418375,十銓科技股份有限公司,02-82265000,新北市中和區建一路166號3樓,www.teamgroupinc.com
23638777,華碩電腦股份有限公司,02-28943447,台北市北投區立德路15號,www.asus.com
3607500,聲寶股份有限公司,03-3975151,桃園市龜山區大華里頂湖26-3號,www.sampo.com.tw
70669172,曜越科技股份有限公司,02-87975788,台北市內湖區堤頂大道二段185號5樓,www.thermaltakecorp.com
35838551,羅鐵機械股份有限公司,03-3183939,桃園市龜山區頂湖三街9號,www.labelmen.com
34263157,三洋窯業股份有限公司,02-26706222,新北市鶯歌區八德路16號,www.stg.com.tw
24467879,上一國際光電股份有限公司,02-22999977,新北市五股區五權三路23號,www.lvd.com.tw
22182927,上揚科技股份有限公司,02-26918000,新北市汐止區中興路32號1樓,http://www.sotac.com.tw/
55942764,久裕興業科技股份有限公司,04-25668888,台中市大雅區西寶村中正路183號,http://www.joy-tech.com.tw/
23060009,大田精密工業股份有限公司,08-7783855,屏東縣內埔工業區建富路8號,"www.o-ta.com.tw, www.volando.com.tw"
73004783,大亞鏈條股份有限公司,06-2703166,台南市仁德區中山路30號,www.tayachain.com
52517787,大佶機電股份有限公司,04-24914588,台中市大里區仁化里工業12路22號,www.dajieco.com
58033900,大通電子股份有限公司,04-7627131,彰化縣花壇鄉中山路二段771號,www.px.com.tw
43938484,大量科技股份有限公司,03-3686368,桃園市八德區友聯街49號,www.tlhome.com.tw
24311659,大愛感恩科技股份有限公司,02-26575245,台北市內湖區洲子街69號2樓,http://www.daait.com
4459719,川方企業股份有限公司,02-24971788,新北市瑞芳區傑魚坑路139號,www.comeupwinch.com
86213896,弓銓企業股份有限公司,06-5050207,台南市台南科學園區善化區大利三路8號,www.ems.com.tw/
84149081,中美萬泰科技股份有限公司,03-5780000,新竹市科學園區展業二路14號3樓,www.wincomm.com.tw
3089008,中國砂輪企業股份有限公司,02-26791931,新北市鶯歌區中山路64號,www.kinik.com.tw
11085292,中華映管股份有限公司,03-4805678,桃園市龍潭區三和村一鄰華映路1號,www.cptt.com.tw
16177616,云光科技股份有限公司,03-5545488,新竹縣竹北市新泰路35號5樓之1,http://www.lighting-epoch.com/
72050149,元一實業股份有限公司,06-2662511,台南市仁德區二仁路一段193號,www.yuangee.com.tw
70747488,元利盛精密機械股份有限公司,03-3249600,台灣桃園市蘆竹區南山路三段17巷11號,www.evest.com.tw
20972349,公信電子股份有限公司,02-26987068,新北市汐止區新台五路一段75號3樓,www.clientron.com
22099189,友訊科技股份有限公司,02-66000123,台北市內湖區新湖三路289號,www.dlink.com
30878408,友嘉實業股份有限公司,04-23594075,台中市南屯區精科路12號,www.feeler.com
15877008,太平洋自行車股份有限公司,03-4861231,桃園縣新屋鄉永安村下庄子236號,www.pacific-cycles.com
56627440,心源工業股份有限公司,04-26237575,台中市清水區菁埔路198號,http://www.syic.com
11099726,日馳企業股份有限公司,03-3543900,桃園縣蘆竹鄉海湖村海山中街51號,www.sunrace.com、www.sturmey-archer.com
97383600,世華金屬科技股份有限公司,07-7886666,高雄市大寮區大發工業區華東路57號,www.shstainlesstube.com
86637206,世鎧精密股份有限公司,07-6225669,高雄市岡山區本洲里本工一路1號,www.shehkai.com.tw
86057473,卡訊電子股份有限公司,07-9703838,高雄市前鎮區新衙路288-5號6F-1,www.bxb.tw
22301178,台灣氣立股份有限公司,02-29041235,新北市泰山區貴鳳街21號,www.chelic.com
4695235,台灣國際造船股份有限公司,07-8059888,高雄市小港區中鋼路3號,http://www.csbcnet.com.tw/csbc/index.asp
23373585,台灣華傑股份有限公司,03-4333210,桃園市中壢區吉林路25-2號6樓,www.hua-jie.com
22393818,台灣麗馳科技股份有限公司,04-26815711,台中市大甲區幼九路18號,http://www.litzhitech.com/tw/
23113940,台灣櫻花股份有限公司,04-25666106,台中市大雅區雅潭路四段436號,www.sakura.com.tw
86636121,巧登欣實業股份有限公司,04-7620357,彰化縣秀水鄉義興村義雅巷83號,www.laddertool.com
47296834,必翔實業股份有限公司,03-5688585,新竹縣新豐鄉新豐村新和路１０８號,http://www.pihsiang.com.tw/
89616090,永勝光學股份有限公司,04-25658333,台中市大雅區中科路6號3樓-1,www.hydron.com.tw
55823084,生原家電股份有限公司,04-25222186,臺中市豐原區南村里水源路490號,www.alaska.com.tw/
34258318,白馬窯業股份有限公司,03-4903111,桃園市楊梅區新榮里電研路5號,www.whitehorse.com.tw/
80333058,禾聯碩股份有限公司 ,03-3961188,桃園市龜山區文化里科技三路88號,www.heran.com.tw
22327466,立端科技股份有限公司,02-86926060,新北市汐止區大同路二段173號7樓,www.lannerinc.com
53636163,兆奕精密機械有限公司,02-86775175,新北市鶯歌區大湖路192號,www.jypm.com.tw
52543878,吉輔企業有限公司,04-25334244,台中市潭子區祥和路133巷33號,www.atcgifu.com
75908954,同喬實業股份有限公司,07-7019901,高雄市大寮區江山路89號,www.tcvgroup.com.tw
22099505,合勤科技股份有限公司,03-5783942,新竹科學園區工業東九路二號,www.zyxel.com
52686707,合濟工業股份有限公司,04-23593178,臺中市南屯區精科一路1號,http://www.everising.com
23798627,多惠企業有限公司,02-24979008,新北市瑞芳區頂坪路88號,www.dofair.com.tw
28312644,宇帷國際股份有限公司,03-5601388,新竹縣竹北市台元一街五號2樓之2,www.avexir.com
97444368,宇瞻科技股份有限公司,02-22678000,新北市土城區忠承路32號1F,www.apacer.com
22778617,安用工業股份有限公司,04-25361836,台中市潭子區豐興路二段338巷13-2號,www.trt.com.tw
35883295,老松機械股份有限公司,02-29900668,新北市新莊區頭前路92號,hppt://www.laosoung.com.tw
23718011,艾訊股份有限公司,02-29174550,新北市新店區寶橋路235巷4號8樓,www.axiomtek.com
29161074,低碳動能開發股份有限公司,02-26801999,新北市樹林區佳園路三段55號,www.rce.com.tw
12403422,宏正自動科技股份有限公司,02-86926789,新北市汐止區大同路2段125號3樓,www.aten.com
24373330,宏鑫光電科技股份有限公司 ,03-5980050,新竹縣湖口鄉新竹工業區四維路12號,www.jpiti.com.tw
7618057,志聖工業股份有限公司,04-23591651,台中市南屯區精科二路11號,www.csun.com.tw
22044755,技嘉科技股份有限公司,02-89124000,新北市新店區寶強路 6 號,www.gigabyte.com
89984833,良品衛浴設備有限公司,04-7719377,彰化縣鹿港鎮廖厝里廖厝巷4之12號,www.newr.com.tw
80150711,亞太菁英股份有限公司,04-23589313,台中市南屯區精科北路七號,www.apeccnc.com
55996796,亞拓電器股份有限公司,04-25279117,台中市豐原區南村里水源路345號,www.align.com.tw
52321257,佳樂電子股份有限公司,04-22347677,台中市東區東光路202號,www.taiwancarol.com
97347062,和光工業股份有限公司,02-24966425,新北市瑞芳區瑞芳工業區頂坪路131號,www.hokwang.com
52579072,和和機械股份有限公司,04-23591888,台中市南屯區精科東路3號(台中精密機械園區）,www.soco.com.tw
12304443,和椿科技股份有限公司,02-87523311,臺北市內湖區洲子街60號2樓,www.aurotek.com.tw
4735004,固緯電子實業股份有限公司,02-22680389,台北縣土城市中興路7-1號,www.gwinstek.com
80452223,奇岩電子股份有限公司,03-5166311,新竹市東光路192號10樓之1,www.moai.com.tw
16149669,奇祁科技有限公司,02-27554445,台北市敦化南路二段128號七樓之二,http://www.apixia.com/index.php
27565769,宜鼎國際股份有限公司,02-77033000,台北縣汐止市大同路一段237號 5樓,www.innodisk.com
28640914,居家修股份有限公司,02-28912677,臺北市北投區中央南路二段121號,www.famiclean.tw/
23751545,岱宇國際股份有限公司,04-7977888,彰化縣和美鎮全興工業區工一路1號,www.dyaco.com.tw & www.dyaco.com
59334664,怡利電子工業股份有限公司,04-7977277,彰化縣伸港鄉溪底村工東一路37號 (全興工業區),www.e-lead.com
5141520,昆盈企業股份有限公司,02-29956645,新北市三重區重新路5段492號,www.geniusnet.com
22532826,明安國際企業股份有限公司,07-8721410,高雄市小港區中林路26號,www.adgroup.com.tw
16549778,明基材料股份有限公司,03-3748800,桃園市龜山區建國東路29號,www.BenQMaterials.com
25057697,明達醫學科技股份有限公司,03-3498800,桃園縣龜山鄉山頂村興業街5號2樓之1(第二層),www.crystalvue.com.tw
34491075,明緯企業股份有限公司,02-22996100,新北市五股區五權三路28號,www.meanwell.com
70527203,明躍國際健康科技股份有限公司,04-8299998,彰化縣埔心鄉瑤鳳路一段398號,www.strengthmastergroup.com
53067079,昇恆科技股份有限公司,04-23351517,台中市烏日區太明路211巷88號,www.sunheng.com.tw
11332202,東元電機股份有限公司,02-26553333,台北市南港區三重路19-9號5F,www.teco.com.tw
88120872,東台精機股份有限公司,07-9761588,高雄市路竹區路科三路三號,www.tongtai.com.tw
23187148,東林電子股份有限公司,03-3395816,桃園市桃園區三民路三段180號17樓之1,www.comlink.com.tw
7220508,東培工業股份有限公司,02-27417321,桃園市八德區介壽路一段600號,www.tungpei.com.tw
22998485,東遠精技工業股份有限公司,02-22991293,新北市新北產業園區五權七路65號,www.atma.com.tw
88697382,油機工業股份有限公司,07-6953061,高雄市路竹區竹園里環球路92號,www.youji.com
12981014,玩偶的家實業股份有限公司,04-25679339,台中市潭子區民族路二段301巷2-1號,http://www.playmetoys.com/
9497109,迎廣科技股份有限公司,03-3229898,桃園市龜山區南上路350巷57號1樓,www.in-win.com
81050084,金坤實業股份有限公司,07-6229661,高雄市岡山區永樂街二巷56號,www.gcind.com.tw
12804123,金智洋科技股份有限公司,06-3843699,台南市安南區工業二路82號,www.sapido.com.tw
16866084,金鴻股份有限公司,04-25693850,台中市神岡區民生路122號,www.aropec.com
58303609,金豐機器工業股份有限公司,04-7524131,彰化市彰水路186號,www.chinfong.com.tw
79959103,青暘企業股份有限公司,02-22680546,新北市土城區中央路四段35-3號3樓,http://www.c-yuang.com.tw/
70680780,冠馳股份有限公司,02-29072727,新北市新莊區中正路651-6號3樓,www.saeko.com.tw
20928029,南京資訊股份有限公司,02-87511111,台北市內湖區陽光街365巷24號,www.protech.com.tw
36268804,南俊國際股份有限公司,02-26777429,新北市鶯歌區鶯桃路413巷52弄11號,www.repon.com.tw
84478549,品卓企業有限公司,02-87515757,台北市大內湖區瑞光路583巷21號5F-6,www.deya.tw
23086649,哈伯精密股份有限公司,04-22713588,台中市太平區大里工業區工業20路77號,www.habor.com
12861019,威剛科技股份有限公司,02-82280886,新北市中和區連城路258號2樓,www.adata.com
97445303,威強電工業電腦股份有限公司,02-86916798,新北市汐止區中興路29號,http://www.ieiworld.com
81448796,建準電機工業股份有限公司,07-8135888,高雄市前鎮區新衙路296巷30號,www.sunon.com.tw
80686593,恬褋仕股份有限公司,02-27006200,台北市大安區復興南路一段237號9F,www.10days.com.tw/
23897921,星喬科技股份有限公司,02-26952780,新北市汐止區康寧街165號,www.senortech.com
28382444,星視野精密機械股份有限公司,04-23383342,台中市烏日區五光路607巷59號,http://www.starvision-tech.com/
23360202,星雲電腦股份有限公司,02-26946687,新北市汐止區福德二路236號4樓-1,www.gccworld.com
97111045,研能科技股份有限公司,03-4831000,新竹科學工業園區研發二路28號1樓,www.microjet.com.tw
53113073,研揚科技股份有限公司,02-89191234,新北市新店區寶橋路235巷135號8F,http://www.aaeon.com/en/
5155853,研華股份有限公司,02-27927818,台北市內湖區瑞光路26巷20弄1號,www.advantech.com.tw
89627505,科盛科技股份有限公司,03-5600199,新竹縣竹北市台元街32號8樓之2,www.moldex3d.com
25041669,凌暉科技股份有限公司,06-5970070,台南市永康區永科南路18號,http://www.lwodisplay.com/ch/index.php
4967550,凌群電腦股份有限公司,02-21916066,台北市萬華區峨眉街115號6樓,http://www.syscom.com.tw/
24311573,剛鈺股份有限公司,02-27977579,台北市內湖區文湖街6號4樓,http://www.AI-RIDER.com
73626826,桂盟企業股份有限公司,06-2019103,台南市永康區中華路425號8樓-1,www.kmcchain.com
44721408,泰豐輪胎股份有限公司,03-4522156,台北市士林區雨農路14號,www.federaltire.com.tw
16893316,特典工具股份有限公司,04-25658358,台中市大雅區科雅路8號,www.wtools.com.tw
22112508,益銳股份有限公司,04-7363333,台灣省彰化市茄苳路二段222-1號,www.easywellwater.com
25063430,祐泰科技股份有限公司,02-86711688,新北市三峽區介壽路一段388巷5號,www.roxim.net
22099532,神基科技股份有限公司,02-27857888,台北市南港區南港路一段209號A棟5樓,www.getac.com
54354916,紙綸科技股份有限公司,02-27618068,台北市松山區八德路四段70號2樓,www.papershoot.com
22063416,般若科技股份有限公司,04-23597455,台中市西屯區工業區35路37號,taku-art.com
22164580,訊舟科技股份有限公司,02-77396888,新北巿五股區五權三路3號（五股工業區）,www.edimax.com
23829868,訊連科技股份有限公司,02-86671298,新北市新店區民權路100號15樓,http://www.cyberlink.com/
69654004,偉本企業股份有限公司,06-2632911,台南市安平工業區新和二路8號,www.wb.com.tw/kitchenware.html
23070442,國睦工業股份有限公司,04-23594985,台中市南屯區精科路18號,www.merits.com.tw
4282115,崑榮機械股份有限公司,02-22060881,新北市新莊區新樹路302巷8號,www.teemingmachinery.com
22690893,康揚股份有限公司,05-2066688,嘉義縣民雄鄉大學路二段2363號,http://www.karma.com.tw
12841871,徠通科技股份有限公司,04-23599688,台中市南屯區精科路20號,www.accutex.com.tw/
23829163,捷拓科技股份有限公司,06-2923150,台南市南區新信路18號,www.minmax.com.tw
15877936,捷流閥業股份有限公司,02-22698000,新北市土城區土城工業區中山路2號,WWW.VALUEVALVES.COM
16520174,捷揚光電股份有限公司,03-5526255,新竹縣竹北市台元街20號5F,www.mylumens.com
22497145,清展科技股份有限公司,07-7881114,高雄市大寮區琉球里農場路199號,www.hiss.com.tw
33659498,盛達電業股份有限公司,02-29145665,新北市新店區中興路二段192號8樓,www.billion.com
56670396,野寶科技股份有限公司,04-26821688,台中市大甲區南北一路100號,www.apro-tek.com
72108944,凱士士企業股份有限公司,02-25563336,台北市大同區延平北路一段38號,www.kss.com.tw
22746550,凱撒衛浴股份有限公司,02-85123712,新北市三重區興德路111-8號7樓,www.caesar.com.tw
86212931,凱薩克科技股份有限公司,06-2568575,台南市安南區工明南一路72號,www.kssuspension.com
23446187,創見資訊股份有限公司,02-27928000,台北市內湖區行忠路70號,www.transcend-info.com
22582493,勝泰衛材股份有限公司,04-7629971,彰化縣和美鎮彰草路三段99號,www.justime.com
84560548,勝創科技股份有限公司,03-5535888,新竹縣竹北市泰和路84號,www.kingmax.com
52347361,喬山健康科技股份有限公司,04-25667100,台中市大雅區東大路二段999號,www.johnsonfitness.com
22269487,堤維西交通工業股份有限公司,06-2658781,台南市安平工業區新樂路72-2號,http://www.tyc.com.tw
28944472,富利豐國際有限公司,04-7332555,彰化市彰和路一段97巷128號,www.no30-inc.com
97600894,惠而強實業有限公司,02-26560840,台北市內湖區內湖路一段68號五樓,http://www.hec-taiwan.com
16660415,普家康興業股份有限公司,04-23359968,台中市烏日區太明路成豐巷5-28號,www.puricom.com
84117341,普萊德科技股份有限公司,02-22199518,新北市新店區民權路96號11樓,www.planet.com.tw
70783202,晶達光電股份有限公司,02-89191858,新北市新店區寶橋路235巷137號8樓,www.litemax.com
25021158,晶碩光學股份有限公司,03-3298808,台北市信義區信義路五段5號3F24,www.pegavision.com
28023412,智晶光電股份有限公司,037-587168,苗栗縣竹南鎮科北二路 8 號,http://www.wisechip.com.tw/
86831927,湯石照明科技股份有限公司,02-86857855,新北市樹林區博愛街236號4樓,www.tonslight.com/
22626844,童心園實業股份有限公司,02-27568001,台北市南京東路五段70號9樓,www.e-weplay.com
16527682,華凌光電股份有限公司,04-25689987,臺中市大雅區科雅路31號5樓,www.winstar.com.tw
80310225,華廣生技股份有限公司,04-23692388,台中市南區大慶街2段100號,www.bionime.com
84094369,華豫寧股份有限公司,04-22300362,台中市進化北路238號4樓之8,www.waferlock.com.tw
80333613,華擎科技股份有限公司,02-28965588,台北市北投區中央南路二段37號4樓,http://www.asrock.com/
25181598,萊鎂醫療器材股份有限公司,03-5509623,新竹縣竹北市生醫路2段22號5樓,http://www.somnics.com/
28562760,視達威科技股份有限公司,03-5600686,新竹縣竹北市台元街38號5樓之6,starvedia.com
16887406,賀喜能源股份有限公司,037-612219,苗栗縣頭份市工業路101號,www.leadray.com
35924015,進典工業股份有限公司,03-4965066,桃園市楊梅區青年路6-1號,www.jdv.com.tw
16832727,雅適國際股份有限公司,04-36069898,臺中市大雅區二和里３鄰雅潭路４段３０３號,http://www.topax.com.tw/
54325265,雲守護安控股份有限公司,02-28343771,台北市士林區中山北路6段90號4樓之1,http://www.beseye.com/home
23245013,順盈機械股份有限公司,02-26802199,新北市樹林區民權街６８號,WWW.SBL.TW
23611974,圓剛科技股份有限公司,02-22263630,新北市中和區建一路135號,www.avermedia.com
70795143,奧圖碼科技股份有限公司,02-89118600,新北市新店區北新路三段213號12樓,www.optoma.com
22178368,微星科技股份有限公司,02-32345599,新北市中和區立德街69號,http://www.msi.com
89798198,微程式資訊股份有限公司,04-23692699,台中市西屯區河南路二段262號14樓,http://www.program.com.tw/
12645358,新穎機械工業股份有限公司,04-25628000,台中縣神岡鄉大釧路53號,www.sigmacnc.com.tw
12462174,新駿實業股份有限公司,02-29815245,新北市五股區中興路1段168號,www.sturdy.com.tw
53853674,暄達醫學科技股份有限公司,03-3287882,桃園市龜山區文化村科技1路77號2樓,www.carilexmedical.com
53127750,瑞光科研股份有限公司,8862-26918821,新北市汐止區大同路1段237號7樓-7,www.edas.cc
12983884,督洋生技股份有限公司,03-3960707,桃園縣龜山鄉文明路19號,http://www.tokuyo.com.tw
97432341,祺驊股份有限公司,03-6992860,新竹縣湖口鄉德興路231號,www.chihua.com.tw
52541739,達佛羅企業有限公司,04-25603759,台中市大雅區德勝路318巷56號,www.buffalo.com.tw
97396555,鉅邦醫材股份有限公司,04-8758181,彰化縣田中鎮沙崙里新工二路168號,www.greatgroup.com.tw
12322809,鉅高股份有限公司,02-25373397,台北市民權東路二段26號9樓,http://www.jkexer.com
52541175,雷虎科技股份有限公司,04-23591616,台中市西屯區工業區六路七號,www.thundertiger.com
12520441,鼎眾股份有限公司,03-3289140,桃園市龜山區文化一路75號,www.mediland.com.tw
86039237,椿揚食品機械有限公司,07-6166555,高雄市燕巢區安招路669號,http://www.tsunghsing.com.tw/tw/
66608323,嘉友電子股份有限公司,05-2711000,嘉義市忠孝二街88號,www.chiayo.com.tw
89586639,嘉強電子股份有限公司,05-2380809,嘉義市北港路814號,www.mipro.com.tw
22261942,嘉鴻遊艇股份有限公司,07-8607770,高雄市小港區光陽街8號,www.horizonyacht.com
22156759,精益科技股份有限公司,02-26557866,台北市南港區園區街3號13樓之1(南港軟體園區二期F棟),www.plustek.com
28913512,精聯電子股份有限公司,02-89121122,新北市新店區寶橋路235巷120號7樓,www.ute.com
80088837,維勝特企業股份有限公司,04-26570580,台中市梧棲區中港加工出口區緯六路十八號,www.garden-tools.com.tw
68928408,鳳記國際機械股份有限公司,06-2532157,台南市永康區正北一路168號,www.fki.com
54009680,億觀生技股份有限公司,02-23685358,台北市羅斯福路三段171號11樓之1,www.aidmics.com
80161908,廣穎電通股份有限公司,02-87978833,台北市內湖區洲子街106號8樓,www.silicon-power.com
4465521,德淵企業股份有限公司,02-22992121,新北市五股區新北產業園區五權六路九號,www.equsmaster.com
84189908,慶騰精密科技股份有限公司,03-4558171,桃園市中壢區吉林路20號,http://www.trinity-ptc.com/
89639615,慧友電子股份有限公司,02-26982334,新北市汐止區新台五路一段79號12樓,www.everfocus.com.tw
97166694,摩特動力工業股份有限公司,04-8528111,彰化縣大村鄉山腳路66號,www.pgo.com.tw
28345862,數泓科技股份有限公司,04-25320382,台中市潭子區台中加工出口區北環路15-1號,www.eclatorq.com
59112564,歐都納股份有限公司,04-23583456,台中市西屯區臺灣大道四段839號17樓,www.atunas.com.tw
12890464,歐萊德國際股份有限公司,03-4116789,桃園市龍潭區中豐路高平段18號,www.oright.com.tw
84469443,磐儀科技股份有限公司,02-82269396,新北市中和區中正路700號10樓,www.arbor-technology.com
27525021,樺賦科技股份有限公司,02-26981788,新北市汐止區新台五路一段79號15樓,www.thecus.com
27601913,橙的電子股份有限公司,04-25602766,台中市大雅區科雅路29號5樓,www.orange-electronic.com
28919500,穎漢科技股份有限公司,06-3843188,台南市安南區科技一路50號,www.ylm.com.tw
5592003,翰坤五金機械有限公司,04-24860602,台中市東區六順路22號,www.hardy-tw.com
23282425,興采實業股份有限公司,02-85127888,新北市新莊區五權二路十號,www.singtex.com
73653920,龍鋒企業股份有限公司,06-2336618,台南市永康區新樹里中山北路818號,www.eagleeyes.com.tw
86395501,應誠窗簾股份有限公司,06-5106611,台南市善化區小新里小新營392號,www.uni-soleil.com.tw
69702104,璨揚企業股份有限公司,06-3843988,台南市安南區工業一路18號,www.lucidity.com.tw
23117191,鴻友科技股份有限公司,03-5779373,新竹市科學工業園區研發二路25號,www.mustek.com.tw
29135647,醫揚科技股份有限公司,02-89192188,台北縣新店市寶橋路235巷135號2F,http://www.onyx-healthcare.com
80410189,瀚銘科技股份有限公司,07-5582256,高雄市左營區大順一路91號4樓之3,www.hanmin.com.tw
53356492,麗源光電股份有限公司,02-22681368,新北市土城區中央路三段89巷12號,www.heatingtec.com
22118799,寶熊漁具股份有限公司,04-35076888,台中市潭子區中山路三段11號,www.okuma.com.tw
55982771,伯鑫工具股份有限公司,04-25627786,台中縣神岡鄉社口村中山路360巷28弄35號,www.proxene.com.tw
36096704,協易機械工業股份有限公司,03-3525466,桃園市龜山區南上路446號,www.seyi.com
31260108,力霸工業科技股份有限公司,02-28322200,台北市士林區福國路6號之1、之4,www.lepa.com.tw
57001697,三久股份有限公司,04-23397171,台中市霧峰區民生路396號,www.suncue.com
4481037,大井泵浦工業股份有限公司,02-26361123,新北市三芝區後厝里大片頭83之14號,www.walruspump.com
22274989,川湖科技股份有限公司,07-9599688,高雄市路竹區後鄉里順安路299號,www.kingslide.com
97186967,中美強科技股份有限公司,04-25628956,台中市神岡區中山路851巷42號,www.gkbsecurity.com
22907106,中勤實業股份有限公司,03-3185300,桃園市龜山區大華里頂湖一街16號,www.ckplas.com
33926782,介明塑膠股份有限公司,02-26895731,新北市樹林區三龍街7號,www.hose.com.tw
12882675,友荃科技實業股份有限公司,07-6235588,高雄市岡山區環保科技園區本工五路3號,www.oxy-hydrogen.com
80646988,天藝工業有限公司,04-23550568,台中市工業區36路51號,www.tien-i.com
53592778,以斯帖生物科技有限公司,07-7310313,高雄市鳳山區北維街35號,http://www.hadassah71525.asia
88659922,台灣金蜂股份有限公司,07-6222101,高雄市永安區永安工業區永工二路15號,http://www.tgb.com.tw/
53145194,必恩威亞太有限公司,03-5601111,新竹縣竹北市台元一街一號10樓之一,http://www.pny.com.tw/index.php
86622029,正河源機械配件有限公司,04-26265252,台中市清水區高美路231巷15號,www.chmt.com.tw
89961466,伍豐科技股份有限公司,02-26981446,新北市汐止區新台五路一段75號10樓,www.fecpos.com
84239055,全漢企業股份有限公司,03-3578998,桃園市桃園區新埔六街101號7樓,www.fsp-group.com
23404341,合鋼股份有限公司,04-26281790,臺中市清水區菁埔里中央北路2之26號,http://www.autosuper.com.tw/
54275906,耳一號股份有限公司,02-86650351,新北市新店區中興路二段186號5樓,www.tiinlab.com.tw
89955491,利統股份有限公司,02-26940885,新北市汐止區康寧街169巷31-1號13樓之1,www2.lytone.com
20765242,佰龍機械廠股份有限公司,02-24978888,新北市瑞芳區瑞芳工業區頂坪路8號,www.pailung.com.tw
16242320,居易科技股份有限公司,03-5972727,新竹縣湖口鄉新竹工業區復興路26號,www.draytek.com.tw
2895911,昆富工業股份有限公司,04-26832568,台中市外埔區水頭一路100巷77號,www.bnbrack.com
22601695,昇宏國際企業股份有限公司,07-2240011,高雄市新興區中正三路55號29樓,http://www.shaanhonq.com
84517297,泓格科技股份有限公司,02-89192220,新北市新店區寶橋路235巷137號7樓之2,www.icpdas.com
24725102,玩美移動股份有限公司,02-86671265,新北市新店區民權路98號14樓,http://tw.perfectcorp.com/
70827285,金合利實業有限公司,082-323999,台北市信義區基隆路一段432號6樓之6,http://maestrowu.8898.tw/
86854553,金泰噴碼科技股份有限公司,02-26973488,新北市汐止區新台五路一段99號34樓,http://www.anser-u2.com/en/index.asp
22108011,金統立工業股份有限公司,04-23353567,台中市烏日區溪南路二段270巷65弄66號,www.kingtony.com
24373232,金磚通訊科技股份有限公司,03-5982022,新竹縣湖口鄉新竹工業園區仁愛路1號4樓,www.brickcom.com
89875862,長天科技股份有限公司,03-6687000,新竹縣寶山鄉科學工業園區創新一路 1-1號,www.holux.com
11520909,南港輪胎股份有限公司,02-27071000,台北市大安區仁愛路三段136號6樓608室,www.nankang-tyre.com
23810360,恆智重機股份有限公司,037-220741,苗栗市水源里水流娘16-1號,http://www.liftruck.net
23435597,映通股份有限公司,02-29997193,新北巿三重區重新路5段609巷4號6樓之5,http://www.anntong.com.tw/
23219346,為升電裝工業股份有限公司,04-7782010,彰化縣福興鄉彰鹿路六段546巷6號,http://www.cubelec.com.tw
80214519,科定企業股份有限公司,02-22963999,新北市泰山區新北大道五段287巷16號,http://www.twkd.com/tw/index.php
12810618,科頂科技工業股份有限公司,07-6955533,高雄市路竹區路科五路90號5樓,www.codent-tech.com
65403770,耐斯企業股份有限公司,02-2217888,嘉義縣民雄鄉福樂村民雄工業區中興ㄧ街7號,http://www.nice.com.tw/
12974560,茂系亞股份有限公司,02-27923700,臺北市內湖區新湖二路367號2樓,http://www.mosia.com.tw/
22099759,虹光精密工業股份有限公司,03-5782388,新竹科學工業園區研新一路20號,http://www.avision.com
89593343,凌華科技股份有限公司,02-82265877,新北市中和市建一路166號9樓,www.adlinktech.com
61838711,埔里造紙股份有限公司,049-2981228,南投縣埔里鎮隆生路二段22號,www.puli-paper.com.tw
