company,Stand Number,Country,Tel,Mail,Web
ARABIAN SPECIALISED MATERIALS CO (ASMA),SS G92,Qatar,+ 974 4421 3636,mohd@asmaqatar.com,"??
http://www.asmaqatar.com"
ARANGUL PLASTIK KALIP SAN. TIC. LTD. STI.,1C07,Turkey,+ 90 312 4181038,iren@arangul.com.tr,"??
http://www.arangul.com.tr"
ARAYMOND,Zabeel I127,France,+ 33  633080403,rayfixexport@aol.com,"??
http://www.araymond.com"
ARD F.LLI RACCANELLO SPA,6D271,Italy,+ 39 049 8060070,export@ard-raccanello.it,"??
http://www.ard-raccanello.it"
ARGENTA HARDWARE SYSTEMS,6B241,Belgium,+       00 32 93 33 99 99,info@argentalu.com,"??
http://www.argentalu.com"
ARI MAKINA SAN. PAZ. LTD. STI.,1C11,Turkey,+ 90 216 3789048,export@arimakina.com,"??
http://www.arimakina.com"
ARI-ARMATUREN ALBERT RICHTER GMBH & CO. KG,2F77,Germany,+ 49 5207 994-157,saadeh.abu-saadeh@ari-armaturen.com,"??
http://www.ari-armaturen.com"
ARISTON THERMO,3D137,Italy,+ 971 4 2364969,jacopo.guazzarotti@aristonthermo.com,"??
http://www.ariston.com"
ARTLINE INTERIORS,Concourse 108,Jordan,+ 962 6 5526414,l.aljammal@art-line.net,"??
http://www.art-line.net"
ARVEN SRL,3F143,Italy,+ 39 030 9973973,info@arven.it,"??
http://www.arven.it"
ASIAN GRANITO INDIA LTD,Rashid A167,India,+ 91 79 66125500,exportinfo@aglasiangranito.com,"??
http://www.aglasiangranito.com"
ASM / ILEA DOUCHES,8B333,France,+ 33 811 224444,didier.deroux@asm-france.fr,"??
http://www.ilea-douches.fr"
ASOPLAST SPA,3D110,Italy,+ 39 0734 778511,sebastiano.sanna@asoplast.com,"??
http://www.asoplast.com"
ASSA ABLOY,SS C61,United Arab Emirates,+ 971 4 8804888,murtaza.husaini@assaabloy.com,"??
http://middleeast.assaabloy.com"
ASTERM ISI SAN. TIC. LTD. STI.,2 E57,Turkey,+ 90 212 8540107,ahmed@asterm.com.tr,"??
http://www.asterm.com.tr"
AUTOMATISMI BENINCA' SPA,SS F150,Italy,+ 39 0444 751030,ambrosini@beninca.it,"??
http://www.beninca.com"
BADEN WURTTEMBERG,Zabeel P120 Zabeel O120 Zabeel N126,Germany,+ 49 711 22787-0,katja.ernst@bw-i.de,"??
http://www.bw-invest.de"
BADEN-W?RTTEMBERG INTERNATIONAL,Zabeel N123,Germany,+  49 711 22787-26,katja.ernst@bw-i.de,"??
http://"
BAKIRCILAR CELIK KAPI ALM. MOB. MAD. MER. INS. TIC. VE SAN. LTD. STI.,SS F101,Turkey,+ 90 242 4248327,osman@falezcelikkapi.com,"??
http://www.falezcelikkapi.com"
BALMORAL TANKS,3B137,United Kingdom,+ 44 1224 859000,s.gibb@balmoral.co.uk,"??
http://www.balmoraltanks.com"
BALVENT HAMMER AIR CONDITIONING,Zabeel S175,Latvia,+ 86 21 61066961,frida@hammerair.com,"??
http://www.hammerair.com"
BAMPI SPA,3F121,Italy,+ 39 030 9132489,bampi@bampi.it,"??
http://www.bampi.it"
BARBERI RUBINETTERIE INDUSTRIALI,1 E21,Italy,+ 39 0163 48284,barberi.monica@barberi.it,"??
http://www.barberi.it"
"BARROS & MOREIRA, SA",7F290,Portugal,3.51263E+11,rpalaio@grupobm.pt,"??
http://www.barros-moreira.pt"
BARTELS,SS E66,Germany,+,vertrieb@basys.biz,"??
http://www.basys.biz"
BATHCO,Rashid C211,Spain,942321222,export@thebathcollection.com,"??
http://http://www.thebathcollection.com"
BAUMERK YAPI VE YAPI KIMYA SAN. TIC. LTD. STI.,7C301,Turkey,+ 90 212 4387888,kerem.bodur@baumerk.com,"??
http://www.baumerk.com"
BECCHETTI ANGELO BAL,SS H150,Italy,+ 39 030 826131,silvia@becchettibal.it,"??
http://www.becchettibal.com"
BEKJO,Rashid E201,Egypt,+ 20 45 3248493,p_m_c_o@hotmail.com,"??
http://www.coni.co.kr"
BELLINI SPONGES,6D266,Italy,+ 39 0375 88227,info@bellini-sponge.com,"??
http://www.bellini-sponge.com"
BENFER SCHOMBURG SRL,8C331,Italy,+ 39 595 35540,giorgiococchi@benfer.it,"??
http://www.benfer.it"
BERLING S.A.,7C310,Greece,+ 0030 22620 31663,exports@berlingpaints.eu,"??
http://www.berling.gr"
BERTOLOTTO PORTE,"SS F136,E137",Italy,+ 39  1729128,masseilotti@bertolotto.com,"??
http://www.bertolotto.com"
BIANCHI ANGELO E OSVALDO,3F127,Italy,+ 39 030 8922029,info@bianchiangeloeosvaldo.com,"??
http://www.bianchiangeloeosvaldo.com"
BILSAN KAUCUK PLASTIK GERI DONUSUM SAN. VE TIC. A.S.,2F56,Turkey,+ 90 212 6830233,selim@bilsan-eva.com,"??
http://www.bilsan-eva.com.tr"
BIN BUTTI INTERNATIONAL HOLDINGS L.L.C,3A131,United Arab Emirates,+ 971 2 6319226,c.arcenal@bbih.ae,"??
http://www.bbih.ae"
BIOTECTURE,SS E120,United Kingdom,+ 44 01243 572118,hugo@biotecture.uk.com,"??
http://www.biotecture.uk.com"
BIRCO GMBH / BIRCO FZE,2F71,Germany,+ 49 7221 50030,c.meyer@birco.de,"??
http://www.birco.ae"
BLUE RHINE INDUSTRIES LLC,SS H51,United Arab Emirates,+ 971 4 8857517,lucy@brisigns.com,"??
http://www.bluerhine.com;www.brisigns.com"
BOISDECK,Ar D194,Malaysia,+   605  255 8268,weiwah.chong@timberdeck.com.my,"??
http://www.boisdeck.com"
BOLLHOFF ATTEXOR SA,Zabeel X181,Switzerland,+ 41 21 6948087,jkowalczuk@bollhoff.com,"??
http://www.bollhoff-attexor.com"
BOMET - THREADED RODS,Zabeel R113,Belgium,+     32 11 55 91,m.wirken@bomet.com,"??
http://www.bomet.com"
BONAR NATPET,6A252,United Arab Emirates,+ 971 50 5536605,mohammad.baradi@lowandbonar.com,"??
http://www.bonarnatpet.com"
"BORAM CO., LTD.",Zabeel E133,Korea,+ 82 31 8413433,jsh551209@gmail.com,"??
http://www.e-boram.com"
"BOSUNG SILICONE CO.,LTD.",1 E13,Korea,+ 82 32 683 4123,bosc02@hanmail.net,"??
http://www.bosungsilicone.co.kr"
BQ-ROHRSYSTEME,2 E77,Germany,+ 49 5273 389323,gw@bq-germany.de,"??
http://www.bq-germany.de"
BRITISH CERAMIC TILE,7D281,United Kingdom,+,heidi.normanton@britishceramictile.com,"??
http://www.britishceramictile.com"
BSI GROUP,Concourse 312,United Arab Emirates,+ 971 4 3364917,robert.marsden@bsigroup.com,"??
http://www.bsigroup.ae"
BUCCHI SRL,3F135,Italy,+ 39 0545 901001,d.bucchi@bucchi.it,"??
http://www.bucchi.it"
BUEMAG EG,6D250,Germany,+ 49  377555838,f.pawlowsky@buemag.de,"??
http://www.buemag.de"
BUILT IN PUGLIA,SS D146,Italy,+ 39 080 8963051,info@builtinpuglia.it,"??
http://www.builtinpuglia.it"
BUSINESS FRANCE,France Pavilion,France,33496172546,jean-francois.leborgne@businessfrance.fr,"??
http://www.businessfrance.fr"
BUYUKSARAY TURISTIK ESYA SAN. VE TIC. LTD. STI.,7D307,Turkey,+ 90 212 6182121,fatih@bussy.com.tr,"??
http://www.bussy.com.tr"
C.B.I. EUROPE HI- TECH INTERIORS,6A261,Italy,+ 39 071 7108688,a.catena@cbi-europe.com,"??
http://www.cbi-europe.com"
C.S.A. S.R.L.,Rashid E244,Italy,+ 39 011 2238545,marketing@csaboxdoccia.it,"??
http://www.csaboxdoccia.eu"
CANBOND INC.,Zabeel V186,Canada,+ (905)  761-5290,keith@canbond.com,"??
http://www.canbond.com"
CANOFIX HANSOL,SS B187,Korea,+ 82 31 5359100,hyo2672@hotmail.com,"??
http://www.facebook.com/canopy.hansol"
CANTAS IC VE DIS TIC. SOGUTMA SISTEMLERI SAN. TIC. A.S.,1D16,Turkey,+ 90 262 7514606,erdin.ucan@cantas.com,"??
http://www.cantas.com"
CAPRARI SPA,3A101,Italy,+ 39 059 887611,s.mazzaferro@caprari.it,"??
http://www.caprari.com"
CAPTAIN POLYPLAST LIMITED,2 E93,India,+ 91 2827 253006,export@captainpolyplast.in,"??
http://www.captainpolyplast.com"
CARES,Zabeel B111,United Kingdom,+ 44 1 732450000,ladincamci@ukcares.com,"??
http://www.ukcares.com"
CASAL SRL,SS C90,Italy,+ 39 041 4165855,direzione@casal.it,"??
http://www.casalsrl.eu"
CASALI SPA,6C266,Italy,+ 39 071 9162095,n.gagliardini@casaligroup.it,"??
http://www.casalisport.it"
CATRA & LUMENARCHI,5A232,Iran,+ 98 21 22243031,amini@catra-co.com,"??
http://www.catra-lumenarchi.com"
CEAM ITALIA,SS F130,Italy,+ 39 031 771316,gaetano.orlando@ceamitalia.it,"??
http://www.ceamitalia.it"
"CEBIEN CO., LTD",6F265,Korea,+ 82 31 765 7510,cebienkorea@gmail.com,"??
http://www.cebien.com"
CERA,Rashid D181,United Arab Emirates,+ 971 4 2695996,rajeev@cera.ae,"??
http://www.cera-india.com"
CES,SS E71,Germany,+ 971 4 3697051,ces-me@ces.eu,"??
http://www.ces.eu"
CGM SRL,1D26,Italy,+ 39 0323 586778,acquisti@cgmprogetti.it,"??
http://www.cgmprogetti.it"
"CHAIR MEISTER CO., LTD.",Zabeel M131,Korea,+ 82 31 9823915,sean@winwincm.com,"??
http://www.chairmeister.com"
CHEQPOINT TECH. TRADING L.L.C,2A56,United Arab Emirates,+ 971 4 3209310,jay@cheqpoint.com,"??
http://www.cheqpoint.com"
CITTERIO GIULIO,6D260,Italy,+ 39 0362 924451,gianni.gasparoli@citteriogiulio.com,"??
http://www.citteriogiulio.com"
CLOISALL CO. LLC,6G278,United Arab Emirates,+ 971 4 3258877,ahmad.obaid@cloisall-gulf.com,"??
http://http://www.cloisall-gulf.com/trading.html"
CMI-DOW THERMAX,SS F127,United States,+ 1 813 287-8265,csloope@awg-llc.com,"??
http://www.awg-llc.com"
CMS GLOBAL,2D51,United Arab Emirates,+ 971 4 3474858,ali.shahab@cmsglobal.com,"??
http://www.cmsglobal.com"
CO.ME & GAMMA PENNELLI,8E331,Italy,+ 39 049 5969321,simone@come.it,"??
http://www.come.it"
COBERT ROOF TILES,SS B100,Spain,902449922,tejas.cobert@uralita.com,"??
http://http://www.tejascobert.es"
COBRA SAFES,SS D102,Spain,+ 00 34 925533037,info@cobrasafes.com,"??
http://www.cobrasafes.es"
COMAGLIO SRL,SS G153,Italy,+ 39 0365 373790,info@comaglio.it,"??
http://www.comaglio.it"
COMER ITALY,Multaqua B120,Italy,+ 39 018 5358591,e.sacchi@comeritaly.com,"??
http://www.comeritaly.com"
COMIT,SS F136,Italy,+ 39 030 8971794,paolo@comit-maniglie.com,"??
http://www.comit-maniglie.com"
CONDAIR AG,Zabeel R110,Switzerland,+ 41 55 4166405,markus.imholz@condair.com,"??
http://www.condair.com"
CONEX UNIVERSAL LTD,3B133,United Kingdom,+,sangita.mistry@ibpgroup.com,"??
http://www.conexbanninger.com"
CONFIDUSTRIA PADOVA,Italy Pavilion,Italy,+ 39 049 8227151,estero@confindustria.pd.it,"??
http://www.confindustria.pd.it"
CONFORTO SRL,4F162,Italy,+ 39 0429 781371,ufficiocommerciale@conforto.it,"??
http://www.conforto.it"
CON-IMEX PREFABRIK INSAAT SAN. TIC. LTD. STI.,SS D171,Turkey,+ 90 322  3944725,info@con-imex.com,"??
http://www.con-imex.com"
CONLUX LED LIGHTING,Zabeel Z155,United Arab Emirates,+ 971 52 8369713,a.kirchgatterer@conlux.ae,"??
http://www.conlux.ae"
COOLEX,1B37,Kuwait,+ 965 183 3380,ronny.bittar@ric.com.kw,"??
http://www.coolex.com.kw"
CORTECH CO LTD,SS B182,South Korea,+ 82 55 3439009,ctceo343@gmail.com,"??
http://www.cortech.co.kr"
CORYS BUILDING MATERIALS,4A191,United Arab Emirates,+ 971 4 2894670,mhamza@corys.ae,"??
http://www.corys.ae"
COSMO I&D,1D11,Korea,+ 82 44 863 2337,hjkim@cosmoind.com,"??
http://www.cosmoind.com"
"COSMOS WALLPAPER CO., LTD.",6F247,Korea,+ 82 2 325 1181(Ext.221),choch915@gmail.com,"??
http://www.cosmoswa.co.kr"
COSPICON SA,SS C76,Greece,+ 0030 210 6195800,info@cospicon.com,"??
http://www.cospicon.com"
COTES A/S EXPERTS IN HUMIDITY MANAGEMENT,Concourse 230,United Arab Emirates,+ 971 4 2589000,alaska@emirates.net.ae,"??
http://www.cotes.com"
CRAFTSTONE® - YOUR NATURAL CHOICE OF STONE,Ar B192,Malaysia,+   607  651 1888,howard@craftstone.com.sg,"??
http://www.craftstone.com.sg"
CROWN LAMINATES INDIA,5 E231,India,+ 91 79 40017979,fastrisehk@gmail.com,"??
http://www.royaletouche.com"
DALLAN SPA,6C277,Italy,+ 39 0423 734111,elisa.ferraro@dallan.com,"??
http://www.dallan.com"
DARIANO,SS D107,Russia,+ 7 8422 790700,marketing@dariano.ru,"??
http://www.dariano.ru"
DASSO,Zabeel E120,United States,+ (404)  (404) 472-3922,finance@dassousa.com,"??
http://www.dassousa.com"
DECAN SPORTS EQUIPMENT,7E322,Spain,976125049,info@decan.es,"??
http://www.decan.es"
DECUROS TUBES - UPGRADE YOUR DESIGN,SS F77,Germany,+ 49 177 20077200,o.kroeger@decorus-tubes.com,"??
http://www.decorus-tubes.com"
DELABIE,Rashid D207,France,+         33 3 22 60 22 70,carole.catoire@delabie.fr,"??
http://www.delabie.com"
DEPARTMENT OF INTERNATIONAL TRADE PROMOTION (DITP),Thai Pavilion,United Arab Emirates,+ 971 4 2284553,gridiwongs@ditp.go.th,"??
http://www.ditp.go.th"
DF-LOCHBLECHE (GERMANY + PERFOX (NETHERLANDS),SS G70,Germany,+ 49 6831 7003530,rfitouri@dfvertrieb.de,"??
http://www.dfvertieb.de"
DIASEN SRL,6B261,Italy,+ 39 073 29718,dhanya.gangitano@diasen.com,"??
http://www.diasen.com"
DIGI ROBOTICS,Concourse 615,United Arab Emirates,+ 971 4 4249400,lana@digirobotics.com,"??
http://www.digirobotics.com"
DIGILOCK,6C257,Netherlands,+ 31 20 3033070,clay.gervais@digilock.com,"??
http://www.digilock.com"
DIKO ELEKTRIKLI CIHAZLAR SAN. VE TIC. A.S.,3D127,Turkey,+ 90 216 3142626,info@diko.com.tr,"??
http://www.diko.com.tr"
DISTECH CONTROLS - CANADA,Concourse 207,Lebanon,+ (961)  394-1067,p.rizk@smarttech.systems,"??
http://www.smarttech.systems"
DOLPHIN RADIATORS & COOLING SYSTEMS LLC,2D77,United Arab Emirates,+ 971 6 5432526,mukesh.thakur@myworldofexpo.com,"??
http://"
DOMUS S.A.,SS C86,Greece,+ 0030  2104936202,export@domus.gr,"??
http://http://www.domus.gr/"
DON CONSTRUCTION PRODUCTS (DCP),8F367,United Kingdom,+   44 1932 506 488,commercial@dcp-int.com,"??
http://www.dcp-int.com"
"DONGSHIN POLYCHEM CO.,LTD.",6F242,Korea,+   82 43 284 4266,ds34301@hanmail.net,"??
http://www.dspolychem.com/"
DOORI,1 E05,Korea,+ 82 53 7611553,sales@dooritank.co.kr,"??
http://www.dooritank.co.kr"
DOUGLAS (TIANJIN) BUILDING MATERIALS CO. LTD,6G264,Taiwan,+ 886 2 29580016,sindyhsu@douglasceilings.com.tw,"??
http://www.douglasceilings.com.tw"
DRISTEEM CORPORATION,2F63,United States,+ (321)  182-3595,dristeem-europe@dristeem.com,"??
http://www.dristeem.com"
DUBAI AIRPORT FREEZONE,Concourse 500,United Arab Emirates,+ 971 4 2027726,ranwahi@dafz.ae,"??
http://www.dafz.ae"
DUEGI RUBINETTERIE,Rashid C220,United Arab Emirates,+ 971 4 4521888,sadhana@domus-england.co.uk,"??
http://www.rubduegi.it"
DUPROOF,8D365,United Arab Emirates,+ 971 4 8851212,marketing@duproof.ae,"??
http://www.duproof.ae"
DURAL PROFILE GMBH CO KG,5A234,Germany,49260292610,h.akin@dural.de,"??
http://"
DURKEE AMERICA INC. (DURKEESOX & DURFLEX),1 E30,United States,+ 206  639-2889,cecily@durkeesox.com,"??
http://www.durkeesox.com"
DYNATECH PUMPS PTE. LTD,Zabeel Y190,Singapore,+ 65  6535-3735,kozen@dynatechpumps.com,"??
http://www.dynatechpumps.com"
ECCO,SS H133,Thailand,+ 66 2 9876061,office@ecco1989.com,"??
http://www.ecco1989.com"
ECO PANEL MIDDLE EAST FZCO,Concourse 843,United Arab Emirates,+ 971 4 4473863,ravshan@mpremiere.com,"??
http://"
EGEPLAST EGE PLASTIK TIC. VE SAN. A.S.,1A17,Turkey,+ 90 232 3768631,export@egeplast.com.tr,"??
http://www.egeplast.com.tr"
EGYPT STONES,Maktoum A141,Egypt,225452006,Vp@egypt-stones.com,"??
http://http://www.egypt-stones.com/"
EJ,3C120,France,+ 33 344 082800,wissam.zaafrane@ejco.com,"??
http://www.ejco.com"
ELASTOTET S.A.,7D311,Greece,+ 0030 22950 29367,astavropoulos@elastotet.gr,"??
http://www.elastotet.gr"
ELECTROFIN® HEAT TRANSFER COATINGS,1G41,Italy,+ 39 0434 857068,alessandro.fumi@luvata.com,"??
http://www.luvata.com/coatings"
ELEMENT OTOMATIK BASINC KONTROL CIH. SAN. TIC. LTD. STI.,3 E146,Turkey,+ 90 212 5494950,element@elementswitch.com,"??
http://www.elementswitch.com"
ELIV U PVC SYSTEM LOUVER,SS A183,Korea,+ 82 31 3510178,sylee@greenbautek.com,"??
http://www.greenbautek.com"
ELNIA LTD,5A116,Cyprus,+ 357  22449999,info@elnia.com,"??
http://www.elnia.com"
ELSEWEDY - EGYPLAST,3D126,Egypt,2015411631,m.sayed-es@elsewedy-plastic.com,"??
http://www.elsewedy-plastic.com"
EMMEGI,SS B91,Italy,+ 39 059 895411,g.gasparini@emmegi.com,"??
http://www.emmegi.com"
ENA - EUROPEAN NETWORK ARCHITECTURE E.V.,Zabeel O127,Germany,+ 49 7221 992872,scheiermann@ena.ag,"??
http://www.ena.ag"
ENGEL EUROPA,1F43,United Kingdom,+ 0114 269 4556,deansummerhayes@engeleuropa.com,"??
http://www.engeleuropa.com"
ENOLGAS BONOMI SPA,3F141,Italy,+ 39 030 2184311,anthony_labate@enolgas.it,"??
http://www.enolgas.it"
ENTERPRISE GREECE S.A.,Greece Pavilion,Greece,+ 30 210 3355700,info@enterprisegreece.gov.gr,"??
http://www.enterprisegreece.gov.gr"
ENTRE MARKETING LTD,Finland pavilion,Finland,+ 358 50 3967507,mervi.alho@wulffentre.com,"??
http://www.wulffentre.com"
EONMETALL (RACKING AND SHELVING),Zabeel L116,United Arab Emirates,+ 971 4 8814882,syed@eonmetallmena.com,"??
http://www.eonrack.com.my"
EPI LIMITED,Zabeel D131,Korea,+ 82 63 5455458,efreeform@hanmail.net,"??
http://www.efreeform.com"
"EPIC SYSTEMS CO.,LTD.",6F251,Korea,+   82 31 481 8111,dlgur@epicsystems.co.kr,"??
http://www.globalepic.net"
EREN CELIK AHSAP VE METAL MOBLE SAN. VE TIC. LTD. STI.,SS C176,Turkey,+ 90 212 5634567,engin@rafturk.com.tr,"??
http://www.rafturk.com.tr"
ERICH DIECKMANN GMBH,SS G66,Germany,+ 49 2371 956159,guelten.yasar@dieckmann.com,"??
http://www.dieckmann.com"
